UNDERLYING;EXERCICE_PRICE;TIME_TO_MATURITY;INTEREST_RATE;VOLATILITY;MARKET_PRICE
4730.7000;4257.63;4.2164;0.23%;17%;897.49
4730.7000;4494.17;4.2164;0.23%;16%;752.34
4730.7000;4612.43;4.2164;0.23%;16%;685.40
4730.7000;4730.70;4.2164;0.23%;16%;622.50
4730.7000;4848.97;4.2164;0.23%;15%;563.71
4730.7000;4967.24;4.2164;0.23%;15%;508.70
4730.7000;5203.77;4.2164;0.23%;15%;410.36
4730.7000;5676.84;4.2164;0.23%;14%;256.97
4730.7000;3784.56;5.2137;0.37%;17%;1291.02
4730.7000;4257.63;5.2137;0.37%;16%;973.28
4730.7000;4494.17;5.2137;0.37%;16%;834.82
4730.7000;4612.43;5.2137;0.37%;16%;770.55
4730.7000;4730.70;5.2137;0.37%;16%;710.09
4730.7000;4848.97;5.2137;0.37%;15%;653.05
4730.7000;4967.24;5.2137;0.37%;15%;599.42
4730.7000;5203.77;5.2137;0.37%;15%;501.88
4730.7000;5676.84;5.2137;0.37%;15%;343.84
4730.7000;3784.56;6.2110;0.51%;17%;1362.42
4730.7000;4257.63;6.2110;0.51%;16%;1056.68
4730.7000;4494.17;6.2110;0.51%;16%;922.27
4730.7000;4612.43;6.2110;0.51%;16%;860.36
4730.7000;4730.70;6.2110;0.51%;16%;801.14
4730.7000;4848.97;6.2110;0.51%;16%;745.06
4730.7000;4967.24;6.2110;0.51%;16%;691.65
4730.7000;5203.77;6.2110;0.51%;15%;594.55
4730.7000;5676.84;6.2110;0.51%;15%;433.02
4730.7000;3784.56;6.2493;0.51%;17%;1365.44
4730.7000;4257.63;6.2493;0.51%;16%;1059.91
4730.7000;4494.17;6.2493;0.51%;16%;925.98
4730.7000;4612.43;6.2493;0.51%;16%;863.64
4730.7000;4730.70;6.2493;0.51%;16%;804.42
4730.7000;4848.97;6.2493;0.51%;16%;748.33
4730.7000;4967.24;6.2493;0.51%;16%;695.35
4730.7000;5203.77;6.2493;0.51%;15%;598.18
4730.7000;5676.84;6.2493;0.51%;15%;436.40
4730.7000;3784.56;7.2575;0.65%;17%;1444.68
4730.7000;4257.63;7.2575;0.65%;16%;1148.29
4730.7000;4494.17;7.2575;0.65%;16%;1017.05
4730.7000;4612.43;7.2575;0.65%;16%;955.94
4730.7000;4730.70;7.2575;0.65%;16%;897.73
4730.7000;4848.97;7.2575;0.65%;16%;842.41
4730.7000;4967.24;7.2575;0.65%;16%;789.49
4730.7000;5203.77;7.2575;0.65%;16%;692.18
4730.7000;5676.84;7.2575;0.65%;15%;527.92
4730.7000;3784.56;8.2575;0.77%;17%;1525.43
4730.7000;4257.63;8.2575;0.77%;17%;1236.56
4730.7000;4494.17;8.2575;0.77%;16%;1107.60
4730.7000;4612.43;8.2575;0.77%;16%;1047.35
4730.7000;4730.70;8.2575;0.77%;16%;989.29
4730.7000;4848.97;8.2575;0.77%;16%;934.42
4730.7000;4967.24;8.2575;0.77%;16%;881.73
4730.7000;5203.77;8.2575;0.77%;16%;784.34
4730.7000;5676.84;8.2575;0.77%;15%;617.78
4730.7000;3784.56;9.2575;0.89%;17%;1610.16
4730.7000;4257.63;9.2575;0.89%;17%;1325.63
4730.7000;4494.17;9.2575;0.89%;16%;1198.10
4730.7000;4612.43;9.2575;0.89%;16%;1137.76
