,s_on_k,maturity,sigma,mu,nmc,nx,nt,a,b,n,analytic value,montecarlo,montecarlo is,montecarlo antithetic,euler explicite,euler implicite,crank nicolson,ft_gilp
0,0.8,1.0,0.1,-0.005,100.0,100.0,100.0,0.01,50.0,1000.0,0.00034626495222372933,0.0009692120822220296,0.0003667328755424519,0.00024659445265026817,0.0007164052676282358,0.0007571497795279868,0.0007369266110846442,-0.006298895571315019
1,1.15,7.125,0.31875,0.034375,87512.5,25.625,87512.5,0.002125,54.375,8875.0,0.5230275448600339,0.5305536744233393,0.5594371684434077,0.5282190433250726,0.5790408084433579,0.5790396996151093,0.5790402497711648,0.5299366593405211
2,1.1937499999999999,7.890625,0.34609375,0.039296875,98439.0625,16.328125,98439.0625,0.0011406250000000001,54.921875,9859.375,0.617650100227704,0.6271577593159288,0.665774021841895,0.6318183753319568,0.6504744533532042,0.6504728716767773,0.6504736554437838,0.6280355486723461
3,1.1945312499999998,7.904296875,0.34658203125,0.039384765625,98634.1796875,16.162109375,98634.1796875,0.0011230468750000001,54.931640625,9876.953125,0.6193474822445517,0.6251186109521527,0.6787829251509103,0.6322479491942935,0.6517962634783356,0.651794674338123,0.6517954617887579,0.6298001293711181
4,1.1979492187499998,7.964111328125,0.34871826171875,0.039769287109375,99487.8173828125,15.435791015625,99487.8173828125,0.001046142578125,54.974365234375,9953.857421875,0.6267751223557085,0.632539433240011,0.6811768785991622,0.6364486947751377,0.5804493816394812,0.5804479867088849,0.5804486778756963,0.6375241129965223
5,1.19871826171875,7.977569580078125,0.34919891357421873,0.03985580444335938,99679.88586425781,15.272369384765625,99679.88586425781,0.001028839111328125,54.983978271484375,9971.160888671875,0.6284466636452474,0.6346583828845859,0.6784018158142278,0.6408910842409157,0.5817112655594068,0.5817098638489403,0.581710558352404,0.6392628647627824
6,0.95,3.625,0.19374999999999998,0.011875,37562.5,68.125,37562.5,0.006625,51.875,4375.0,0.13520413968385192,0.13341513297266883,0.13878975166180857,0.13526392904955567,0.14337618940950195,0.14337538315998977,0.14337578628344214,0.1335970415417117
7,1.04375,5.265625,0.25234375,0.022421875,60976.5625,48.203125,60976.5625,0.004515625,53.046875,6484.375,0.3029939364279891,0.3070889936025978,0.31521330109627715,0.3071181458273817,0.31596601272390173,0.3159653806848584,0.3159656962789928,0.30396640734856195
8,1.14140625,6.974609375,0.31337890625,0.033408203125,85366.2109375,27.451171875,85366.2109375,0.0023183593749999997,54.267578125,8681.640625,0.5045978293856317,0.5162594051576026,0.5391850043011778,0.5168405380165151,0.5538711916276788,0.553870176369366,0.5538706803233896,0.510893356904905
9,1.14873046875,7.102783203125,0.31795654296875,0.034232177734375,87195.4345703125,25.894775390625,87195.4345703125,0.0021535644531249995,54.359130859375,8846.435546875,0.5203006897409086,0.52995866792633,0.5558542524860038,0.5244677631805081,0.576830701978994,0.5768296020961655,0.5768301478604009,0.527117649710507
10,1.19359130859375,7.887847900390625,0.34599456787109373,0.039279022216796876,98399.42932128906,16.361846923828125,98399.42932128906,0.0011441955566406248,54.919891357421875,9855.804443359375,0.6173053375091397,0.630397597749786,0.6647589612618298,0.6259087967914821,0.650205777204209,0.6502041970414472,0.6502049800590336,0.6276770967397667
11,0.9,2.75,0.1625,0.0062499999999999995,25075.0,78.75,25075.0,0.00775,51.25,3250.0,0.06466881855358192,0.06459274108851017,0.06594690260498076,0.06454859202590504,0.06849019037684727,0.06848942837483062,0.0684898093760554,0.062268593450520104
