,error_mc,ctime_mc,error_mc_is,ctime_mc_is,error_mc_antithetic,ctime_mc_antithetic,error_eexp,ctime_eulerexp,error_eimp,ctime_eulerimp,error_cn,ctime_cn,error fourier gp,ctime fourier gp
0,0.0006229471299983003,0.003439188003540039,2.0467923318722564e-05,0.0019268989562988281,9.967049957346116e-05,0.0019469261169433594,0.00037014031540450647,0.006803989410400391,0.00041088482730425747,0.06118893623352051,0.0003906616588609149,0.06258106231689453,0.006645160523538749,0.014299869537353516
1,0.00752612956330545,0.011358976364135742,0.03640962358337385,0.007205009460449219,0.005191498465038746,0.007458686828613281,0.056013263583324036,0.7769532203674316,0.05601215475507537,6.783240795135498,0.05601270491113086,8.269798755645752,0.006909114480487255,0.1335768699645996
2,0.009507659088224818,0.008099794387817383,0.0481239216141911,0.007707118988037109,0.014168275104252892,0.009769916534423828,0.03282435312550025,0.8067052364349365,0.03282277144907331,5.461174964904785,0.032823555216079825,6.980166912078857,0.010385448444642176,0.11458587646484375
3,0.005771128707600992,0.006146907806396484,0.059435442906358604,0.007639884948730469,0.012900466949741785,0.009320974349975586,0.03244878123378392,0.8248090744018555,0.032447192093571275,5.541891813278198,0.032447979544206196,8.24721097946167,0.01045264712656635,0.11710906028747559
4,0.005764310884302515,0.008110284805297852,0.05440175624345367,0.007697105407714844,0.009673572419429122,0.009335041046142578,0.046325740716227304,0.8137290477752686,0.04632713564682367,5.210942983627319,0.04632644448001222,12.021185159683228,0.010748990640813805,0.11613702774047852
5,0.006211719239338498,0.007082939147949219,0.04995515216898039,0.007714033126831055,0.012444420595668304,0.009372949600219727,0.046735398085840596,0.8316917419433594,0.04673679979630707,5.1332831382751465,0.04673610529284333,6.677383899688721,0.010816201117535007,0.11530804634094238
6,0.0017890067111830943,0.003238201141357422,0.0035856119779566487,0.0037009716033935547,5.97893657037496e-05,0.004704952239990234,0.008172049725650027,0.3584299087524414,0.008171243476137846,8.852308988571167,0.008171646599590215,10.160560131072998,0.0016070981421402175,0.04971170425415039
7,0.004095057174608674,0.003985166549682617,0.012219364668288046,0.00493621826171875,0.00412420939939262,0.005252838134765625,0.012972076295912627,0.5343852043151855,0.012971444256869302,8.618885040283203,0.012971759851003684,11.695557117462158,0.0009724709205728432,0.07305192947387695
8,0.011661575771970911,0.005282163619995117,0.03458717491554608,0.006415843963623047,0.012242708630883392,0.0072040557861328125,0.04927336224204715,0.6960568428039551,0.04927234698373428,6.5980000495910645,0.049272850937757906,9.734511137008667,0.006295527519273314,0.10003900527954102
9,0.009657978185421356,0.005531787872314453,0.035553562745095246,0.006474018096923828,0.004167073439599545,0.007806062698364258,0.0565300122380854,0.7089309692382812,0.05652891235525692,6.738263130187988,0.05652945811949228,8.149701118469238,0.006816959969598413,0.10078001022338867
10,0.013092260240646247,0.006378173828125,0.04745362375269002,0.007375001907348633,0.008603459282342407,0.008319854736328125,0.03290043969506928,0.8276009559631348,0.03289885953230742,5.3930628299713135,0.03289964254989386,6.922213077545166,0.010371759230626942,0.11537623405456543
11,7.607746507175273e-05,0.0019156932830810547,0.0012780840513988423,0.002295970916748047,0.00012022652767687547,0.002231121063232422,0.0038213718232653487,0.2329099178314209,0.0038206098212486966,7.625686168670654,0.0038209908224734745,8.82175326347351,0.002400225103061815,0.03784608840942383
