,error_mc,ctime_mc,error_mc_is,ctime_mc_is,error_mc_antithetic,ctime_mc_antithetic,error_eexp,ctime_eulerexp,error_eimp,ctime_eulerimp,error_cn,ctime_cn,error fourier gp,ctime fourier gp
count,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
mean,0.008149816990427449,0.00582620832655165,0.03552526435326819,0.006424771414862739,0.00824968792243195,0.007350912800541631,0.030985898574524804,0.6847386625077989,0.030987000202774388,6.220479912228054,0.030986453905491727,7.93398525096752,0.007223052785970035,0.09719905146846065
std,0.004861143404926443,0.0019137771167187583,0.018140742298065036,0.0017939631189623337,0.004660646250462024,0.0020705925091304483,0.02609770386295685,0.2089812217407854,0.026096024086463027,1.6967587237971393,0.026096857075450338,2.1366620667676317,0.0033404340231907464,0.027705681556896643
min,7.607746507175273e-05,0.0019156932830810547,2.0467923318722564e-05,0.0019268989562988281,5.97893657037496e-05,0.0019469261169433594,0.00037014031540450647,0.006803989410400391,0.00041088482730425747,0.06118893623352051,0.0003906616588609149,0.06258106231689453,0.0004867325255896726,0.014299869537353516
25%,0.004996830881045494,0.004910826683044434,0.02516509614798426,0.005830049514770508,0.005157241869714835,0.006831765174865723,0.005235860384676341,0.6606470346450806,0.005235041734503662,5.427118897438049,0.00523544932444428,7.02469789981842,0.005189480307765448,0.09111201763153076
50%,0.008115567941066937,0.006095170974731445,0.038152598264776794,0.006972074508666992,0.008257912680200152,0.008088111877441406,0.03282435312550025,0.769726037979126,0.03282277144907331,6.436416149139404,0.032823555216079825,8.025213241577148,0.006909114480487255,0.10808682441711426
75%,0.011369264915375987,0.006381988525390625,0.05065858686800351,0.007588386535644531,0.012575165030853153,0.008585691452026367,0.0470671647699234,0.811240553855896,0.047068488989816304,7.043598413467407,0.04706783280475063,8.833898663520813,0.010195188523353382,0.1153421401977539
max,0.019528419168365896,0.011358976364135742,0.059435442906358604,0.009730815887451172,0.014630138315089636,0.009966135025024414,0.11062193056745062,0.9761781692504883,0.11062018436176746,8.871103048324585,0.11062104968819586,12.021185159683228,0.010928481474983931,0.1335768699645996
